,0
319,goblokkkkmpakde pake take shot koperdicuekin pesawattanjaiiii 🤣🤣🤣🤣😬 colek begok
320,copatcopot copat copot lupa fasilitas umum dir as bentar amburadul jakarta ditertibkan ngak era cc
321,duit
322,ganti baju bah gituan kasihan ntar bajunya sama😃😃😃😃
323,rokok haram bapaknya merokok dosa fitnah komentar
324,anies dr beneran bro level aja elu gemeteran
325,ora ngurus
326,ngomong jujur nih pengangguran
327,lhaa iyoo jowo ndase njebluk phow kuwi durong tau pothel ben ucul seko gulu yake
328,mah kelebihan bayar
329,presiden indonesia indonesia me milih presiden asli indonesia imigran akui negara asalnya
330,heru belepotan ngeruk lumour menyekesaikan jokowi tahun ac an aja balkot ngeruk anggaran
331,ditipu
332,fh nasdem pd pks mrk blm koalisi sdh berkoalisi org aneh kalah
333,dr jwbanmu aja yu ga adab kalw yu ngegas emang takut😂😂😂
334,massa mah pst dateng klo dpt lopbkn dr kemauan sendiriwkkwkwk
335,goblok bong diborong kasih temen sekolam napa
336,noh dijualin nkri dihargain…
337,iri menyediakan private jet jk mrk mrsakan kunjungan indonesia private jet pendukung skb
338,bayar pk baper wkwkwk
339,bikin pengabdi satan terdiam janji anis tuntas
340,rakyat nggak rela menyerahkan indonesia pimpin pribumi kw
341,hasil gabener amies lengser
342,berusaha membodohi jawa mas
343,dna keluarga pejuang kalo onoh dna ijazahnya aja udahlah tahun sebentar 🥳🥳🥳
344,partai ngga hitungan gayamu selangit ted²coba malu
345,thn dipimpin perlombaan perlombaan liat sungainya aja jijik heru nggak bacot hasil kerjanya sak kalo anies bilang liat rekam jejak cuman omdo rekam jejaknya dodol
346,hasil jokowi ahok anis ga bangun benda mati
347,wkwkwkkw 🤣😂
348,oligarki sih
349,harap maklum boneka oligarki
350,ga ngaruh digugat ahli hukum ketua dpd ri mental dpr ri merubahnya
351,bikin ikn nyerah pindah ikn wkwkkwkwk
352,oalah bong bong nggak kasian ahok ngomong gitu
353,hahaha munafik namanya
354,tedyselingkuhanmu diumpetin dimana
355,bego soh udah bawaan
356,nyuri start gapapa ga kehilangan kecuali nyuri sepedah kehilangan
357,kasihan kontra anies girang anies selesai gubernur anies tamat pikirnya anies baswedan leluasa keliling nusantara beban daerah dikunjungi meriah menyambutnya
